Timestamp,Senator [1st Choice],Senator [2nd Choice],Senator [3rd Choice],Governor [1st Choice],Governor [2nd Choice],Governor [3rd Choice],HB 49 [1st Choice],HB 49 [2nd Choice],HB 49 [3rd Choice],HB 49 [4th Choice],HB 49 [5th Choice],HB 49 [6th Choice],Name, [Row 1]
11/20/2025 21:17:26,Talarico,No endorsement,,Gina,,,Hodges,Garibay,Reyna,,,,,
11/20/2025 21:17:48,Allred,Talarico,,Bobby Cole,Gina,,Wang,Garibay,,,,,,
11/20/2025 21:18:06,Talarico,,,Bobby Cole,No endorsement,,Wang,Reyna,,,,,,
11/20/2025 21:24:30,Talarico,,,Gina,,,Garibay,Hodges,Reyna,Wang,No Endorsement,,,
2/6/2026 23:52:49,Talarico,,,Gina,,,Hodges,Garibay,Reyna,Wang,No Endorsement,,,
2/6/2026 23:53:25,Talarico,No endorsement,,Gina,No endorsement,,Reyna,Wang,Hodges,Garibay,No Endorsement,,,
2/6/2026 23:54:56,Talarico,,,Bobby Cole,Gina,,Wang,Reyna,Hodges,Garibay,,,,
2/6/2026 23:55:15,Talarico,,,Gina,,,Garibay,Hodges,Reyna,Wang,No Endorsement,,,
2/6/2026 23:55:43,Talarico,,,Gina,,,Garibay,Reyna,Wang,Hodges,,,,
2/6/2026 23:55:59,Talarico,,,Bobby Cole,,,Garibay,Hodges,Reyna,Wang,,,,
2/6/2026 23:58:52,Talarico,,,Gina,,,Wang,Reyna,Hodges,Garibay,,,,
2/7/2026 0:00:21,Allred,Talarico,,Gina,Bobby Cole,,Reyna,Wang,Hodges,Garibay,,,,
2/7/2026 0:01:47,Talarico,Allred,,Bobby Cole,Gina,,Reyna,Hodges,Wang,Garibay,,,,
2/7/2026 0:02:01,Talarico,Allred,,Bobby Cole,Gina,,Reyna,Wang,Garibay,Hodges,,,,
2/7/2026 0:02:15,Talarico,,,Gina,,,Reyna,Garibay,Hodges,Wang,,,,
2/7/2026 0:05:28,Talarico,Allred,,Gina,Bobby Cole,,Hodges,Garibay,Reyna,Wang,,,,
2/7/2026 0:05:50,Talarico,,,Gina,,,Hodges,Garibay,Reyna,Wang,,,,
2/7/2026 0:06:12,Talarico,,,Bobby Cole,,,Wang,Reyna,Garibay,Hodges,,,,
2/7/2026 0:06:45,Talarico,,,Gina,,,Garibay,Hodges,Reyna,Wang,,,,
2/7/2026 0:07:00,Talarico,,,Bobby Cole,,,Garibay,Reyna,Hodges,Wang,,,,
2/7/2026 0:29:54,Talarico,Allred,,Gina,,,Reyna,Garibay,Wang,Hodges,,,,
